,lineId,name,team,position,icetime,iceTimeRank,games_played,situation,Player1,Player2,Player3
0,847793384801858482113,Luostarinen-Lundell-Reinhart,FLA,line,7819,172,24,5on5,Luostarinen,Lundell,Reinhart
2,847579884793168480821,Kunin-Granlund-Zadina,SJS,line,1073,65,7,5on5,Kunin,Granlund,Zadina
4,847793984784838479318,Marner-Matthews-Nylander,TOR,line,2425,346,31,5on5,Marner,Matthews,Nylander
5,847595884816568482148,Protas-Lapierre-Sgarbossa,WSH,line,821,30,4,5on5,Protas,Lapierre,Sgarbossa
8,847821184784218479291,Greer-Rooney-Hunt,CGY,line,1808,23,5,5on5,Greer,Rooney,Hunt
10,847647984796758481560,Moore-Danault-Kaliyev,LAK,line,7319,77,17,5on5,Moore,Danault,Kaliyev
11,847749684788568483395,Bains-Lindholm-Garland,VAN,line,1398,7,3,5on5,Bains,Lindholm,Garland
12,847741684775058477955,Mccann-Wennberg-Bjorkstrand,SEA,line,830,144,13,5on5,Mccann,Wennberg,Bjorkstrand
14,847403484751498477451,Maroon-Hartman-Johansson,MIN,line,2159,91,10,5on5,Maroon,Hartman,Johansson
15,847458684757688483524,Schwartz-Wright-Eberle,SEA,line,3334,7,5,5on5,Schwartz,Wright,Eberle
17,847515184757548478115,Engvall-Nelson-Palmieri,NYI,line,33812,100,55,5on5,Engvall,Nelson,Palmieri
18,847744484799778481789,Kartye-Yamamoto-Burakovsky,SEA,line,963,33,4,5on5,Kartye,Yamamoto,Burakovsky
19,848084984826998483431,Cooley-Hayton-Guenther,ARI,line,1671,16,4,5on5,Cooley,Hayton,Guenther
20,847344984768788480762,Robinson-Girgensons-Okposo,BUF,line,3437,68,9,5on5,Robinson,Girgensons,Okposo
21,847682284773538479718,Motte-Glendening-Barr-Boulet,TBL,line,780,26,4,5on5,Motte,Glendening,Barr-Boulet
22,847456484764538477426,Stamkos-Paul-Kucherov,TBL,line,1837,166,20,5on5,Stamkos,Paul,Kucherov
23,847398684764588478873,Killorn-Strome-Terry,ANA,line,1541,90,8,5on5,Killorn,Strome,Terry
24,847733084802088482162,Kubalik-Jarventie-Batherson,OTT,line,1426,28,5,5on5,Kubalik,Jarventie,Batherson
25,847689784781048481543,Blais-Sundqvist-Alexandrov,STL,line,2259,42,8,5on5,Blais,Sundqvist,Alexandrov
26,847886484821778483499,Ohgren-Khusnutdinov-Kaprizov,MIN,line,682,34,4,5on5,Ohgren,Khusnutdinov,Kaprizov
27,848025284811478482117,Reichel-Guttman-Johnson,CHI,line,619,43,4,5on5,Reichel,Guttman,Johnson
28,847701584779348478402,Draisaitl-Mcdavid-Brown,EDM,line,1127,73,8,5on5,Draisaitl,Mcdavid,Brown
31,847645684774968479346,Huberdeau-Lindholm-Dube,CGY,line,1211,94,9,5on5,Huberdeau,Lindholm,Dube
33,847351284784728482116,Sttzle-Giroux-Joseph,OTT,line,18311,158,38,5on5,Sttzle,Giroux,Joseph
34,847578484815228482175,Skinner-Krebs-Peterka,BUF,line,1847,95,11,5on5,Skinner,Krebs,Peterka
35,847350484752318479328,Clutterbuck-Cizikas-Gauthier,NYI,line,1968,33,6,5on5,Clutterbuck,Cizikas,Gauthier
36,848020884808018482116,Tkachuk-Sttzle-Batherson,OTT,line,5254,561,56,5on5,Tkachuk,Sttzle,Batherson
37,847745684793378479992,Rasmussen-Compher-Debrincat,DET,line,2819,58,10,5on5,Rasmussen,Compher,Debrincat
38,847353384769218480830,Martinook-Staal-Svechnikov,CAR,line,2820,14,5,5on5,Martinook,Staal,Svechnikov
40,847747884780208479353,Carrier-Amadio-Howden,VGK,line,1384,91,8,5on5,Carrier,Amadio,Howden
42,847576084826998483431,Bjugstad-Cooley-Guenther,ARI,line,2053,107,11,5on5,Bjugstad,Cooley,Guenther
44,847967184800748481716,Texier-Voronkov-Olivier,CBJ,line,914,32,4,5on5,Texier,Voronkov,Olivier
45,847745084784638479390,Beauvillier-Dickinson-Raddysh,CHI,line,1370,31,4,5on5,Beauvillier,Dickinson,Raddysh
46,847795684784018483505,Poitras-Zacha-Pastrnak,BOS,line,1209,24,4,5on5,Poitras,Zacha,Pastrnak
50,847341984757458478046,Heinen-Coyle-Marchand,BOS,line,4418,177,21,5on5,Heinen,Coyle,Marchand
52,848001584800288480797,Farabee-Frost-Tippett,PHI,line,1195,289,21,5on5,Farabee,Frost,Tippett
53,847687284800158481553,Tippett-Laughton-Brink,PHI,line,1231,317,19,5on5,Tippett,Laughton,Brink
54,847527884784348481032,Cotter-Froese-Kolesar,VGK,line,985,139,12,5on5,Cotter,Froese,Kolesar
56,847810984793708480762,Robinson-Jost-Olofsson,BUF,line,2415,88,11,5on5,Robinson,Jost,Olofsson
57,847464184764548477998,Foegele-Henrique-Nugent-Hopkins,EDM,line,1349,52,7,5on5,Foegele,Henrique,Nugent-Hopkins
58,847531484775008479328,Lee-Horvat-Gauthier,NYI,line,730,63,6,5on5,Lee,Horvat,Gauthier
60,847345384794008482155,Lewis-Dubois-Laferriere,LAK,line,1061,213,18,5on5,Lewis,Dubois,Laferriere
61,847810984815228482175,Olofsson-Krebs-Peterka,BUF,line,1119,102,9,5on5,Olofsson,Krebs,Peterka
63,847849884793658480003,Debrusk-Boqvist-Frederic,BOS,line,1336,125,8,5on5,Debrusk,Boqvist,Frederic
64,847793984809958482720,Knies-Holmberg-Nylander,TOR,line,1324,54,6,5on5,Knies,Holmberg,Nylander
65,847691884775058481554,Vesey-Wennberg-Kakko,NYR,line,759,54,6,5on5,Vesey,Wennberg,Kakko
66,847933084795438481058,Pezzetta-Gignac-Ylnen,MTL,line,937,13,3,5on5,Pezzetta,Gignac,Ylnen
68,847121584817038482055,O'Connor-Malkin-Puustinen,PIT,line,2013,61,9,5on5,O'Connor,Malkin,Puustinen
69,847790384800688480220,Cates-Poehling-Hathaway,PHI,line,9608,238,35,5on5,Cates,Poehling,Hathaway
71,847414984752258476889,Smith-Faksa-Dadonov,DAL,line,2670,64,9,5on5,Smith,Faksa,Dadonov
72,847522084779198482177,Foligno-Gaudreau-Khusnutdinov,MIN,line,1475,17,4,5on5,Foligno,Gaudreau,Khusnutdinov
73,847854284801858482113,Luostarinen-Lundell-Rodrigues,FLA,line,13351,204,40,5on5,Luostarinen,Lundell,Rodrigues
74,847517284764568481028,Huberdeau-Kadri-Pospisil,CGY,line,4046,300,33,5on5,Huberdeau,Kadri,Pospisil
75,847576384764388476897,Saad-Hayes-Sundqvist,STL,line,707,261,19,5on5,Saad,Hayes,Sundqvist
76,847942384817168482451,Pyyhtia-Voronkov-Nylander,CBJ,line,659,43,4,5on5,Pyyhtia,Voronkov,Nylander
77,847121584751918475810,Rust-Malkin-Smith,PIT,line,2065,199,17,5on5,Rust,Malkin,Smith
79,847707084774828483431,O'Brien-Sanford-Cooley,ARI,line,788,14,3,5on5,O'Brien,Sanford,Cooley
81,847687284800688480797,Farabee-Poehling-Laughton,PHI,line,1838,24,4,5on5,Farabee,Poehling,Laughton
82,847682684792938480009,Tanev-Gourde-Tolvanen,SEA,line,2353,272,23,5on5,Tanev,Gourde,Tolvanen
83,847735384778398479591,Sheary-Motte-Eyssimont,TBL,line,5747,81,18,5on5,Sheary,Motte,Eyssimont
85,847749284774948481186,Drouin-Mackinnon-O'Connor,COL,line,1703,122,11,5on5,Drouin,Mackinnon,O'Connor
86,847692784780578478856,Joshua-Blueger-Garland,VAN,line,21632,127,43,5on5,Joshua,Blueger,Garland
87,847841384794208482175,Greenway-Thompson-Peterka,BUF,line,611,143,12,5on5,Greenway,Thompson,Peterka
94,847062184758428477406,Janmark-Carrick-Perry,EDM,line,1235,76,8,5on5,Janmark,Carrick,Perry
95,847952584811868481641,Kiviranta-Colton-O'Connor,COL,line,1290,45,6,5on5,Kiviranta,Colton,O'Connor
96,847747384808218481477,Zadina-Sturm-Bailey,SJS,line,650,119,13,5on5,Zadina,Sturm,Bailey
97,847888184793838481147,Seney-Johnson-Katchouk,CHI,line,1386,8,3,5on5,Seney,Johnson,Katchouk
98,847591384769058481032,Cotter-Stephenson-Stone,VGK,line,7712,145,26,5on5,Cotter,Stephenson,Stone
99,847404084774068478585,Janmark-Ryan-Gagner,EDM,line,809,30,4,5on5,Janmark,Ryan,Gagner
101,847685884824968483808,Di Giuseppe-Aman-Kuzmenko,VAN,line,1036,12,3,5on5,Di Giuseppe,Aman,Kuzmenko
102,847701584774068480802,Janmark-Mcleod-Brown,EDM,line,1582,196,18,5on5,Janmark,Mcleod,Brown
104,847639384785428478831,Cousins-Stenlund-Rodrigues,FLA,line,1640,112,10,5on5,Cousins,Stenlund,Rodrigues
105,847682284796618484325,Jeannot-Glendening-Merela,TBL,line,1203,15,4,5on5,Jeannot,Glendening,Merela
106,847698184816188482749,Roy-Newhook-Anderson,MTL,line,1363,104,11,5on5,Roy,Newhook,Anderson
107,847637484796718482451,Pyyhtia-Kuraly-Olivier,CBJ,line,1927,12,4,5on5,Pyyhtia,Kuraly,Olivier
108,847794684793378482078,Raymond-Larkin-Debrincat,DET,line,18425,280,47,5on5,Raymond,Larkin,Debrincat
109,847747684774928478420,Lehkonen-Mackinnon-Rantanen,COL,line,9645,229,34,5on5,Lehkonen,Mackinnon,Rantanen
110,848007484824758482705,Texier-Sillinger-Chinakhov,CBJ,line,2075,66,9,5on5,Texier,Sillinger,Chinakhov
111,847527884807768481462,Morelli-Froese-Rempal,VGK,line,1962,14,4,5on5,Morelli,Froese,Rempal
114,847687184769818478133,Pearson-Evans-Anderson,MTL,line,5751,102,16,5on5,Pearson,Evans,Anderson
115,847523184781158481601,Engvall-Cizikas-Holmstrom,NYI,line,6117,53,12,5on5,Engvall,Cizikas,Holmstrom
116,847809984814778482222,Barabanov-Sturm-Labanc,SJS,line,928,75,7,5on5,Barabanov,Sturm,Labanc
117,847471584800158480220,Tippett-Cates-Atkinson,PHI,line,1329,93,7,5on5,Tippett,Cates,Atkinson
118,847942084815288484145,Benson-Cozens-Thompson,BUF,line,1040,34,5,5on5,Benson,Cozens,Thompson
119,847400984757528476918,Vesey-Bonino-Pitlick,NYR,line,658,78,7,5on5,Vesey,Bonino,Pitlick
120,847584284769348477527,Mcginn-Carrick-Johnston,ANA,line,2548,38,8,5on5,Mcginn,Carrick,Johnston
122,848035584804488484314,Smejkal-Kastelic-Kelly,OTT,line,1579,28,6,5on5,Smejkal,Kastelic,Kelly
123,847847784795438481058,Pezzetta-Stephens-Ylnen,MTL,line,3427,103,14,5on5,Pezzetta,Stephens,Ylnen
124,847936584800038480880,Lauko-Frederic-Boqvist,BOS,line,682,182,13,5on5,Lauko,Frederic,Boqvist
128,848089384824518482705,Pyyhtia-Sillinger-Marchenko,CBJ,line,829,53,6,5on5,Pyyhtia,Sillinger,Marchenko
129,847795184793438480849,Schmaltz-Hayton-Keller,ARI,line,14665,65,27,5on5,Schmaltz,Hayton,Keller
131,847693484808068481517,Mcginn-Lundestrom-Leason,ANA,line,1125,12,3,5on5,Mcginn,Lundestrom,Leason
132,847414184799928480813,Rasmussen-Veleno-Kane,DET,line,652,57,5,5on5,Rasmussen,Veleno,Kane
133,847793484779988478402,Foegele-Draisaitl-Mcdavid,EDM,line,2466,105,13,5on5,Foegele,Draisaitl,Mcdavid
134,848002884815538482159,Foerster-Frost-Brink,PHI,line,1262,128,10,5on5,Foerster,Frost,Brink
136,847690584775118478462,Roy-Stephenson-Mantha,VGK,line,1328,26,4,5on5,Roy,Stephenson,Mantha
138,847585584769218480829,Martinook-Kotkaniemi-Fast,CAR,line,1043,280,23,5on5,Martinook,Kotkaniemi,Fast
139,847690584779648478020,Barbashev-Stephenson-Amadio,VGK,line,3839,31,8,5on5,Barbashev,Stephenson,Amadio
140,847574584780468479365,Heinen-Coyle-Frederic,BOS,line,2291,241,18,5on5,Heinen,Coyle,Frederic
141,847701584785858482077,Holloway-Ryan-Brown,EDM,line,1787,116,10,5on5,Holloway,Ryan,Brown
143,847653984779648478403,Barbashev-Eichel-Marchessault,VGK,line,26926,159,50,5on5,Barbashev,Eichel,Marchessault
148,847576084784748481711,Crouse-Bjugstad-Maccelli,ARI,line,29335,204,58,5on5,Crouse,Bjugstad,Maccelli
149,847576084784748479619,Crouse-Bjugstad-Carcone,ARI,line,1810,139,15,5on5,Crouse,Bjugstad,Carcone
150,847747984793188480995,Bertuzzi-Matthews-Holmberg,TOR,line,1026,69,6,5on5,Bertuzzi,Matthews,Holmberg
151,847342284769608482117,Foligno-Athanasiou-Reichel,CHI,line,1299,5,2,5on5,Foligno,Athanasiou,Reichel
152,847629284794078480002,Palat-Hischier-Bratt,NJD,line,15948,167,38,5on5,Palat,Hischier,Bratt
153,847488484802168480821,Hoffman-Peterson-Zadina,SJS,line,610,30,3,5on5,Hoffman,Peterson,Zadina
154,847528784800028482110,Haula-Hischier-Mercer,NJD,line,3571,29,6,5on5,Haula,Hischier,Mercer
158,847353384758558476921,Martinook-Staal-Fast,CAR,line,23379,270,63,5on5,Martinook,Staal,Fast
159,847843884799968482146,Glass-Novak-Evangelista,NSH,line,1789,59,10,5on5,Glass,Novak,Evangelista
161,847576884775058479977,Schwartz-Wennberg-Yamamoto,SEA,line,632,145,12,5on5,Schwartz,Wennberg,Yamamoto
162,847415784768808481580,Pacioretty-Mcmichael-Wilson,WSH,line,1564,85,7,5on5,Pacioretty,Mcmichael,Wilson
164,847528784762928478414,Palat-Haula-Meier,NJD,line,845,43,6,5on5,Palat,Haula,Meier
165,847121584751918481703,Smith-Malkin-Puustinen,PIT,line,7291,127,22,5on5,Smith,Malkin,Puustinen
166,847682684774448479293,Tanev-Gourde-Burakovsky,SEA,line,2067,106,10,5on5,Tanev,Gourde,Burakovsky
167,847181784801448480995,Reaves-Kampf-Holmberg,TOR,line,3444,55,10,5on5,Reaves,Kampf,Holmberg
168,847840984796388480003,Richard-Boqvist-Brazeau,BOS,line,766,24,4,5on5,Richard,Boqvist,Brazeau
169,847646184784398482159,Foerster-Couturier-Konecny,PHI,line,13746,259,40,5on5,Foerster,Couturier,Konecny
170,847953684802898480845,Jonsson-Fjallby-Kupari-Barron,WPG,line,725,13,3,5on5,Jonsson-Fjallby,Kupari,Barron
171,847464184788738484153,Carlsson-Henrique-Terry,ANA,line,3250,66,9,5on5,Carlsson,Henrique,Terry
172,847804784808298480835,Bunting-Drury-Kotkaniemi,CAR,line,1470,12,3,5on5,Bunting,Drury,Kotkaniemi
174,847814784797728484314,Imama-Smejkal-Macewen,OTT,line,1244,16,4,5on5,Imama,Smejkal,Macewen
176,847516684757148477939,Jarnkrok-Tavares-Nylander,TOR,line,1177,95,9,5on5,Jarnkrok,Tavares,Nylander
177,848006884807978481553,Farabee-Poehling-Brink,PHI,line,4699,262,24,5on5,Farabee,Poehling,Brink
178,847939384801448480980,Dewar-Kampf-Gregor,TOR,line,2404,38,7,5on5,Dewar,Kampf,Gregor
179,847996884799728481422,Shaw-Lucchini-Lettieri,MIN,line,4400,66,14,5on5,Shaw,Lucchini,Lettieri
180,847575484775008478445,Nelson-Barzal-Horvat,NYI,line,7302,54,13,5on5,Nelson,Barzal,Horvat
181,847702184779518480849,Hayton-Kerfoot-Schmaltz,ARI,line,3654,44,9,5on5,Hayton,Kerfoot,Schmaltz
182,847750384779398482259,Mcmann-Domi-Nylander,TOR,line,676,58,5,5on5,Mcmann,Domi,Nylander
184,847531484775008480789,Lee-Horvat-Wahlstrom,NYI,line,2200,135,15,5on5,Lee,Horvat,Wahlstrom
186,847591384769058477478,Carrier-Stephenson-Stone,VGK,line,1201,76,8,5on5,Carrier,Stephenson,Stone
188,847842184800088482652,Greer-Ruzicka-Duehr,CGY,line,1769,28,6,5on5,Greer,Ruzicka,Duehr
191,847793084792938479977,Tanev-Bellemare-Yamamoto,SEA,line,812,26,4,5on5,Tanev,Bellemare,Yamamoto
192,848089384817168484166,Fantilli-Voronkov-Marchenko,CBJ,line,5095,86,14,5on5,Fantilli,Voronkov,Marchenko
195,847418984751918480205,Bemstrom-Eller-Smith,PIT,line,1195,83,10,5on5,Bemstrom,Eller,Smith
197,847745684799928482078,Raymond-Compher-Rasmussen,DET,line,3878,127,15,5on5,Raymond,Compher,Rasmussen
198,848007484802058484166,Texier-Fantilli-Bemstrom,CBJ,line,1537,39,6,5on5,Texier,Fantilli,Bemstrom
199,848007484808938481716,Texier-Voronkov-Marchenko,CBJ,line,821,40,5,5on5,Texier,Voronkov,Marchenko
200,847854284788318480185,Luostarinen-Stenlund-Rodrigues,FLA,line,739,181,15,5on5,Luostarinen,Stenlund,Rodrigues
202,847748284793838481147,Katchouk-Sanford-Johnson,CHI,line,2973,20,6,5on5,Katchouk,Sanford,Johnson
206,847747984784838479318,Bertuzzi-Matthews-Marner,TOR,line,5525,324,35,5on5,Bertuzzi,Matthews,Marner
207,847516984764548477998,Foegele-Nugent-Hopkins-Kane,EDM,line,2366,161,15,5on5,Foegele,Nugent-Hopkins,Kane
208,847062184746418477934,Henrique-Draisaitl-Perry,EDM,line,894,6,2,5on5,Henrique,Draisaitl,Perry
209,847643284793398482475,Laine-Jenner-Chinakhov,CBJ,line,1185,4,2,5on5,Laine,Jenner,Chinakhov
210,847514984784938481557,Boldy-Eriksson Ek-Johansson,MIN,line,13552,224,36,5on5,Boldy,Eriksson Ek,Johansson
211,847890484790668479981,Gadjovich-Lorentz-Lomberg,FLA,line,1097,17,4,5on5,Gadjovich,Lorentz,Lomberg
214,847121484741578478440,Pacioretty-Strome-Ovechkin,WSH,line,1983,100,9,5on5,Pacioretty,Strome,Ovechkin
215,847644884769058478020,Karlsson-Stephenson-Amadio,VGK,line,969,35,4,5on5,Karlsson,Stephenson,Amadio
216,847790384800158480068,Tippett-Poehling-Hathaway,PHI,line,759,328,19,5on5,Tippett,Poehling,Hathaway
217,847794784784408483491,Miroshnichenko-Strome-Milano,WSH,line,2480,42,7,5on5,Miroshnichenko,Strome,Milano
218,847804684799878480003,Heinen-Geekie-Boqvist,BOS,line,869,35,4,5on5,Heinen,Geekie,Boqvist
221,847692584785088482062,Smith-Sissons-Trenin,NSH,line,8479,255,36,5on5,Smith,Sissons,Trenin
224,847121484716988473563,Ovechkin-Backstrom-Oshie,WSH,line,1361,9,3,5on5,Ovechkin,Backstrom,Oshie
225,847528784784148482125,Meier-Haula-Holtz,NJD,line,1198,123,11,5on5,Meier,Haula,Holtz
226,847843484784628481032,Cotter-Roy-Kolesar,VGK,line,5412,225,28,5on5,Cotter,Roy,Kolesar
227,847398684746418475164,Killorn-Henrique-Silfverberg,ANA,line,1305,14,3,5on5,Killorn,Henrique,Silfverberg
228,847742984779528481013,Fabbri-Copp-Berggren,DET,line,1075,14,3,5on5,Fabbri,Copp,Berggren
230,847742984774568478432,Copp-Compher-Fischer,DET,line,1138,138,10,5on5,Copp,Compher,Fischer
231,847647984796758482155,Moore-Danault-Laferriere,LAK,line,1368,307,25,5on5,Moore,Danault,Laferriere
233,847940784800028481559,Bratt-Hischier-Hughes,NJD,line,3572,185,21,5on5,Bratt,Hischier,Hughes
235,847574484774048480039,Guentzel-Kuznetsov-Necas,CAR,line,2202,76,10,5on5,Guentzel,Kuznetsov,Necas
236,847692584817048482146,Parssinen-Sissons-Evangelista,NSH,line,789,139,9,5on5,Parssinen,Sissons,Evangelista
237,847403784784988479987,Van Riemsdyk-Geekie-Debrusk,BOS,line,1166,205,14,5on5,Van Riemsdyk,Geekie,Debrusk
238,847940084815608482155,Laferriere-Dubois-Kaliyev,LAK,line,7790,123,20,5on5,Laferriere,Dubois,Kaliyev
239,847579384774258481641,Kiviranta-Johansen-Wood,COL,line,1200,97,9,5on5,Kiviranta,Johansen,Wood
240,847350484747098477392,Martin-Fasching-Clutterbuck,NYI,line,619,9,2,5on5,Martin,Fasching,Clutterbuck
241,847937984801888481477,Zetterlund-Sturm-Smith,SJS,line,1555,13,4,5on5,Zetterlund,Sturm,Smith
242,847840184784988479365,Debrusk-Zacha-Frederic,BOS,line,843,78,8,5on5,Debrusk,Zacha,Frederic
244,847418984764838479344,Rakell-Eller-Puljujarvi,PIT,line,801,5,2,5on5,Rakell,Eller,Puljujarvi
245,847883184790668480185,Lomberg-Stenlund-Luostarinen,FLA,line,857,187,19,5on5,Lomberg,Stenlund,Luostarinen
246,847578484779498481528,Skinner-Cozens-Tuch,BUF,line,1768,172,13,5on5,Skinner,Cozens,Tuch
247,847935384810328482153,Cotter-Howden-Brisson,VGK,line,1131,7,2,5on5,Cotter,Howden,Brisson
248,848007484808938482705,Texier-Sillinger-Marchenko,CBJ,line,12253,106,23,5on5,Texier,Sillinger,Marchenko
251,847576684768228479591,Watson-Glendening-Eyssimont,TBL,line,636,73,6,5on5,Watson,Glendening,Eyssimont
252,847471584752358476872,Deslauriers-Laughton-Atkinson,PHI,line,946,176,14,5on5,Deslauriers,Laughton,Atkinson
253,847522084779198481550,Foligno-Gaudreau-Beckman,MIN,line,892,5,2,5on5,Foligno,Gaudreau,Beckman
254,847745184779198479520,Gaudreau-Hartman-Duhaime,MIN,line,1173,95,10,5on5,Gaudreau,Hartman,Duhaime
255,847345384793368481239,Fagemo-Lewis-Grundstrom,LAK,line,1237,10,3,5on5,Fagemo,Lewis,Grundstrom
256,847643284784588484166,Fantilli-Jenner-Roslovic,CBJ,line,2439,8,4,5on5,Fantilli,Jenner,Roslovic
257,847351284804488482116,Kelly-Giroux-Sttzle,OTT,line,1286,183,14,5on5,Kelly,Giroux,Sttzle
259,847745684799928480813,Rasmussen-Compher-Veleno,DET,line,829,59,5,5on5,Rasmussen,Compher,Veleno
260,847576084784748483431,Crouse-Bjugstad-Cooley,ARI,line,1777,158,15,5on5,Crouse,Bjugstad,Cooley
263,847810984815288482175,Olofsson-Cozens-Peterka,BUF,line,1720,119,10,5on5,Olofsson,Cozens,Peterka
264,847688184822228482667,Eklund-Hertl-Barabanov,SJS,line,5397,74,12,5on5,Eklund,Hertl,Barabanov
265,847804784800398480835,Bunting-Drury-Necas,CAR,line,9453,198,31,5on5,Bunting,Drury,Necas
266,847350484747098481237,Martin-Maclean-Clutterbuck,NYI,line,11767,100,28,5on5,Martin,Maclean,Clutterbuck
267,847531484764198480789,Lee-Pageau-Wahlstrom,NYI,line,4061,119,13,5on5,Lee,Pageau,Wahlstrom
270,847344984757848479420,Skinner-Thompson-Okposo,BUF,line,3373,172,16,5on5,Skinner,Thompson,Okposo
272,847844484800128481624,Boeser-Pettersson-Mikheyev,VAN,line,731,286,21,5on5,Boeser,Pettersson,Mikheyev
273,847345384764798479675,Moore-Danault-Lewis,LAK,line,1068,265,19,5on5,Moore,Danault,Lewis
275,847342284793908480798,Kurashev-Foligno-Raddysh,CHI,line,3477,59,9,5on5,Kurashev,Foligno,Raddysh
276,847843284785128480011,Kostin-Czarnik-Fischer,DET,line,2811,25,7,5on5,Kostin,Czarnik,Fischer
281,847576584774938478542,Rodrigues-Barkov-Tarasenko,FLA,line,1314,31,4,5on5,Rodrigues,Barkov,Tarasenko
283,847940084799948482155,Anderson-Dolan-Dubois-Laferriere,LAK,line,4750,78,17,5on5,Anderson-Dolan,Dubois,Laferriere
284,847653984769058481604,Dorofeyev-Stephenson-Marchessault,VGK,line,3220,76,10,5on5,Dorofeyev,Stephenson,Marchessault
285,847576584784728481596,Tarasenko-Pinto-Joseph,OTT,line,2036,104,12,5on5,Tarasenko,Pinto,Joseph
286,847167584741898476483,Eller-Crosby-Rakell,PIT,line,1459,16,4,5on5,Eller,Crosby,Rakell
288,847518484764598482157,Cuylle-Zibanejad-Kreider,NYR,line,775,119,8,5on5,Cuylle,Zibanejad,Kreider
289,847858584808028482077,Holloway-Mcleod-Ryan,EDM,line,683,118,8,5on5,Holloway,Mcleod,Ryan
290,847121884773808482157,Cuylle-Brodzinski-Wheeler,NYR,line,3178,25,7,5on5,Cuylle,Brodzinski,Wheeler
293,847458684757688477505,Schwartz-Wennberg-Eberle,SEA,line,3006,85,11,5on5,Schwartz,Wennberg,Eberle
294,847749684780438481624,Lafferty-Lindholm-Mikheyev,VAN,line,1667,20,5,5on5,Lafferty,Lindholm,Mikheyev
295,847751184793598481656,Malenstyn-Protas-Mantha,WSH,line,1284,42,6,5on5,Malenstyn,Protas,Mantha
298,847169984757808481641,Kiviranta-Wagner-Cogliano,COL,line,2348,41,8,5on5,Kiviranta,Wagner,Cogliano
300,847576884774448477955,Burakovsky-Mccann-Schwartz,SEA,line,1139,43,5,5on5,Burakovsky,Mccann,Schwartz
303,847836684815338482745,Zegras-Mctavish-Vatrano,ANA,line,1039,27,5,5on5,Zegras,Mctavish,Vatrano
304,847517084779538482089,Neighbours-Schenn-Kapanen,STL,line,7482,77,18,5on5,Neighbours,Schenn,Kapanen
305,847689784779538480281,Kapanen-Sundqvist-Toropchenko,STL,line,924,225,20,5on5,Kapanen,Sundqvist,Toropchenko
307,847576884775058479293,Tanev-Wennberg-Schwartz,SEA,line,5820,130,18,5on5,Tanev,Wennberg,Schwartz
308,847414984800278482740,Robertson-Johnston-Dadonov,DAL,line,2220,342,31,5on5,Robertson,Johnston,Dadonov
309,847740984793148480185,Tkachuk-Luostarinen-Verhaeghe,FLA,line,2883,85,11,5on5,Tkachuk,Luostarinen,Verhaeghe
310,847733084784728482092,Kubalik-Greig-Joseph,OTT,line,5210,141,18,5on5,Kubalik,Greig,Joseph
311,847793084799778481789,Kartye-Bellemare-Yamamoto,SEA,line,3907,119,18,5on5,Kartye,Bellemare,Yamamoto
313,847574584784988479365,Debrusk-Coyle-Frederic,BOS,line,1099,253,20,5on5,Debrusk,Coyle,Frederic
314,847342284774508484144,Foligno-Dickinson-Bedard,CHI,line,665,75,6,5on5,Foligno,Dickinson,Bedard
315,848028984810198482149,Perfetti-Gustafsson-Barron,WPG,line,907,19,3,5on5,Perfetti,Gustafsson,Barron
316,847414184779468479337,Kane-Larkin-Debrincat,DET,line,9134,169,28,5on5,Kane,Larkin,Debrincat
318,848045984816178481624,Mikheyev-Suter-Podkolzin,VAN,line,906,5,2,5on5,Mikheyev,Suter,Podkolzin
319,847487084793908480798,Kurashev-Johnson-Raddysh,CHI,line,1246,19,4,5on5,Kurashev,Johnson,Raddysh
320,847646084783988478891,Connor-Scheifele-Appleton,WPG,line,2222,362,34,5on5,Connor,Scheifele,Appleton
322,847574484768808481580,Kuznetsov-Mcmichael-Wilson,WSH,line,1608,60,8,5on5,Kuznetsov,Mcmichael,Wilson
323,847399484808488482740,Johnston-Benn-Dellandrea,DAL,line,5140,113,16,5on5,Johnston,Benn,Dellandrea
326,847516684779398481582,Robertson-Tavares-Nylander,TOR,line,623,113,10,5on5,Robertson,Tavares,Nylander
328,847641984807898481601,Holmstrom-Pageau-Wahlstrom,NYI,line,6524,75,19,5on5,Holmstrom,Pageau,Wahlstrom
332,847121484768808481580,Ovechkin-Mcmichael-Wilson,WSH,line,1922,244,21,5on5,Ovechkin,Mcmichael,Wilson
333,847688184780208481032,Cotter-Hertl-Amadio,VGK,line,677,3,1,5on5,Cotter,Hertl,Amadio
335,847585584784278480830,Svechnikov-Aho-Fast,CAR,line,4527,149,17,5on5,Svechnikov,Aho,Fast
337,847795684793658479987,Frederic-Geekie-Pastrnak,BOS,line,783,303,20,5on5,Frederic,Geekie,Pastrnak
338,847516484793688480870,Jones-Groulx-Silfverberg,ANA,line,3737,50,11,5on5,Jones,Groulx,Silfverberg
339,847639384774098477935,Verhaeghe-Bennett-Cousins,FLA,line,1251,166,14,5on5,Verhaeghe,Bennett,Cousins
340,847688284780478478427,Bunting-Aho-Teravainen,CAR,line,1767,112,11,5on5,Bunting,Aho,Teravainen
341,847692584807488482062,Sherwood-Sissons-Smith,NSH,line,671,208,15,5on5,Sherwood,Sissons,Smith
342,847843984800158480028,Konecny-Frost-Tippett,PHI,line,7609,320,33,5on5,Konecny,Frost,Tippett
