,lineId,name,team,position,icetime,iceTimeRank,games_played,situation,Player1,Player2,Player3
2349,847698184779898481618,Newhook-Dvorak-Anderson,MTL,line,1277,15,3,5on5,Newhook,Dvorak,Anderson
2352,847741684800098482665,Tolvanen-Beniers-Bjorkstrand,SEA,line,3672,236,23,5on5,Tolvanen,Beniers,Bjorkstrand
2353,847471584800288480797,Farabee-Frost-Atkinson,PHI,line,5504,213,26,5on5,Farabee,Frost,Atkinson
2355,847805784788568480012,Joshua-Pettersson-Garland,VAN,line,722,223,18,5on5,Joshua,Pettersson,Garland
2356,847733084800648480208,Kubalik-Norris-Batherson,OTT,line,1455,95,8,5on5,Kubalik,Norris,Batherson
2357,847682284797188482070,Barr-Boulet-Glendening-Chaffee,TBL,line,1269,16,4,5on5,Barr-Boulet,Glendening,Chaffee
2360,847757384781048482784,Walker-Dean-Blais,STL,line,1306,19,4,5on5,Walker,Dean,Blais
2361,847747384793168482667,Eklund-Kunin-Bailey,SJS,line,2503,157,13,5on5,Eklund,Kunin,Bailey
2362,847514984779198482177,Johansson-Khusnutdinov-Gaudreau,MIN,line,2062,49,8,5on5,Johansson,Khusnutdinov,Gaudreau
2363,847850884795208479525,Trenin-Colton-Duhaime,COL,line,986,19,3,5on5,Trenin,Colton,Duhaime
2364,847576384768978480281,Sundqvist-Hayes-Toropchenko,STL,line,631,138,13,5on5,Sundqvist,Hayes,Toropchenko
2365,847794784784408479547,Milano-Strome-Phillips,WSH,line,2275,101,9,5on5,Milano,Strome,Phillips
2366,847749284775018478420,Nichushkin-Mackinnon-Rantanen,COL,line,22920,135,43,5on5,Nichushkin,Mackinnon,Rantanen
2369,847682684799778480009,Tolvanen-Gourde-Yamamoto,SEA,line,817,198,16,5on5,Tolvanen,Gourde,Yamamoto
2371,847843884820628482146,Smith-Novak-Evangelista,NSH,line,3592,338,28,5on5,Smith,Novak,Evangelista
2376,847471584764618480797,Farabee-Couturier-Atkinson,PHI,line,1560,323,24,5on5,Farabee,Couturier,Atkinson
2378,847342284774508480798,Foligno-Dickinson-Kurashev,CHI,line,626,279,22,5on5,Foligno,Dickinson,Kurashev
2379,847845884800748482705,Texier-Sillinger-Roslovic,CBJ,line,1009,65,7,5on5,Texier,Sillinger,Roslovic
2380,847584284775278481517,Johnston-Carrick-Leason,ANA,line,6936,131,23,5on5,Johnston,Carrick,Leason
2382,847740684779348477998,Foegele-Draisaitl-Janmark,EDM,line,1550,97,10,5on5,Foegele,Draisaitl,Janmark
2383,847843284784668479992,Rasmussen-Fischer-Sprong,DET,line,1125,194,13,5on5,Rasmussen,Fischer,Sprong
2389,847688984793518480848,Steel-Dellandrea-Faksa,DAL,line,3247,109,15,5on5,Steel,Dellandrea,Faksa
2390,847738084775058481554,Brodzinski-Wennberg-Kakko,NYR,line,2937,19,6,5on5,Brodzinski,Wennberg,Kakko
2391,847516684779398478483,Marner-Tavares-Nylander,TOR,line,872,60,6,5on5,Marner,Tavares,Nylander
2392,847747884784348479353,Carrier-Howden-Kolesar,VGK,line,4756,209,28,5on5,Carrier,Howden,Kolesar
2393,847356384775118481580,Mcmichael-Backstrom-Mantha,WSH,line,847,6,2,5on5,Mcmichael,Backstrom,Mantha
2394,847752784808708481517,Johnston-Groulx-Leason,ANA,line,3006,113,13,5on5,Johnston,Groulx,Leason
2396,847750384809958481582,Robertson-Holmberg-Domi,TOR,line,714,89,7,5on5,Robertson,Holmberg,Domi
2397,847740984793148482113,Tkachuk-Lundell-Verhaeghe,FLA,line,5253,239,30,5on5,Tkachuk,Lundell,Verhaeghe
2398,847688084784408479359,Malenstyn-Strome-Wilson,WSH,line,647,199,16,5on5,Malenstyn,Strome,Wilson
2400,847689784781048480281,Blais-Sundqvist-Toropchenko,STL,line,2317,93,11,5on5,Blais,Sundqvist,Toropchenko
2404,847353384758558482093,Jarvis-Staal-Fast,CAR,line,901,55,6,5on5,Jarvis,Staal,Fast
2405,847574484800398480830,Necas-Kuznetsov-Svechnikov,CAR,line,3538,74,11,5on5,Necas,Kuznetsov,Svechnikov
2406,847121584758108482055,O'Connor-Malkin-Rust,PIT,line,4281,200,22,5on5,O'Connor,Malkin,Rust
2407,848001284804598481535,Hoglander-Pettersson-Suter,VAN,line,4564,77,11,5on5,Hoglander,Pettersson,Suter
2408,847851984795918482070,Eyssimont-Cirelli-Chaffee,TBL,line,2774,59,10,5on5,Eyssimont,Cirelli,Chaffee
2409,847579884774078478099,Duclair-Granlund-Labanc,SJS,line,1150,27,4,5on5,Duclair,Granlund,Labanc
2410,847576384779448478104,Vrana-Hayes-Blais,STL,line,2496,90,11,5on5,Vrana,Hayes,Blais
2411,847733084803558480448,Kubalik-Kastelic-Kelly,OTT,line,4075,110,16,5on5,Kubalik,Kastelic,Kelly
2412,847745184799688481422,Lucchini-Hartman-Lettieri,MIN,line,832,34,4,5on5,Lucchini,Hartman,Lettieri
2414,847637484796718480074,Texier-Kuraly-Olivier,CBJ,line,4537,141,19,5on5,Texier,Kuraly,Olivier
2416,847843484784628480007,Rondbjerg-Roy-Kolesar,VGK,line,1204,17,3,5on5,Rondbjerg,Roy,Kolesar
2418,847646084783988480014,Connor-Scheifele-Vilardi,WPG,line,11751,55,20,5on5,Connor,Scheifele,Vilardi
2422,847414984789758482740,Marchment-Johnston-Dadonov,DAL,line,743,231,20,5on5,Marchment,Johnston,Dadonov
2424,847591384769058479353,Howden-Stephenson-Stone,VGK,line,4983,120,18,5on5,Howden,Stephenson,Stone
2427,847741684774448482665,Burakovsky-Beniers-Bjorkstrand,SEA,line,1454,48,6,5on5,Burakovsky,Beniers,Bjorkstrand
2429,847810984784138481522,Greenway-Krebs-Olofsson,BUF,line,836,83,8,5on5,Greenway,Krebs,Olofsson
2431,847795284785128480813,Fabbri-Czarnik-Veleno,DET,line,1532,72,7,5on5,Fabbri,Czarnik,Veleno
2432,847344984768788478109,Olofsson-Girgensons-Okposo,BUF,line,833,21,3,5on5,Olofsson,Girgensons,Okposo
2434,847528784784148479407,Bratt-Haula-Meier,NJD,line,1030,249,14,5on5,Bratt,Haula,Meier
2437,847749284774948478420,Drouin-Mackinnon-Rantanen,COL,line,29126,257,62,5on5,Drouin,Mackinnon,Rantanen
2439,847514984756928477451,Johansson-Hartman-Zuccarello,MIN,line,4024,184,20,5on5,Johansson,Hartman,Zuccarello
2440,847843884815778482146,Tomasino-Novak-Evangelista,NSH,line,1288,66,9,5on5,Tomasino,Novak,Evangelista
2441,847747384778468480821,Zadina-Carpenter-Bailey,SJS,line,3956,162,19,5on5,Zadina,Carpenter,Bailey
2442,847646184802208480245,Cates-Couturier-Lycksell,PHI,line,1332,12,3,5on5,Cates,Couturier,Lycksell
2443,847403784793658483505,Van Riemsdyk-Frederic-Poitras,BOS,line,1747,69,9,5on5,Van Riemsdyk,Frederic,Poitras
2445,847514984779198481557,Johansson-Gaudreau-Boldy,MIN,line,1294,98,9,5on5,Johansson,Gaudreau,Boldy
2448,847702184770708480855,O'Brien-Mcbain-Kerfoot,ARI,line,4190,81,15,5on5,O'Brien,Mcbain,Kerfoot
2450,847692584784958481704,Parssinen-Sissons-Gurianov,NSH,line,1088,21,3,5on5,Parssinen,Sissons,Gurianov
2451,847121584751918482055,O'Connor-Malkin-Smith,PIT,line,7971,126,19,5on5,O'Connor,Malkin,Smith
2452,847576584780788480448,Chartier-Kelly-Tarasenko,OTT,line,788,90,8,5on5,Chartier,Kelly,Tarasenko
2453,847849884793658479987,Debrusk-Geekie-Frederic,BOS,line,705,314,19,5on5,Debrusk,Geekie,Frederic
2454,848171184826998483431,Maccelli-Cooley-Guenther,ARI,line,1500,159,18,5on5,Maccelli,Cooley,Guenther
2455,847517284793468481028,Dube-Kadri-Pospisil,CGY,line,908,37,4,5on5,Dube,Kadri,Pospisil
2456,847456484785198479591,Eyssimont-Stamkos-Cirelli,TBL,line,2019,117,11,5on5,Eyssimont,Stamkos,Cirelli
2458,847576384802818482089,Neighbours-Hayes-Toropchenko,STL,line,2459,140,13,5on5,Neighbours,Hayes,Toropchenko
2461,847747684774928477501,Lehkonen-Mackinnon-Nichushkin,COL,line,1917,56,8,5on5,Lehkonen,Mackinnon,Nichushkin
2462,847842184793468482652,Greer-Duehr-Dube,CGY,line,1111,52,8,5on5,Greer,Duehr,Dube
2464,847804384800218481535,Hoglander-Lafferty-Studnicka,VAN,line,1443,14,4,5on5,Hoglander,Lafferty,Studnicka
2465,847572284769258479996,Zucker-Sissons-Glass,NSH,line,1387,10,3,5on5,Zucker,Sissons,Glass
2466,847804684784988479365,Heinen-Frederic-Debrusk,BOS,line,794,89,8,5on5,Heinen,Frederic,Debrusk
2468,847653984769058477478,Carrier-Stephenson-Marchessault,VGK,line,748,33,4,5on5,Carrier,Stephenson,Marchessault
2471,847404084764548478402,Nugent-Hopkins-Mcdavid-Gagner,EDM,line,1195,66,5,5on5,Nugent-Hopkins,Mcdavid,Gagner
2472,847519384792938479977,Tatar-Tanev-Yamamoto,SEA,line,1500,22,5,5on5,Tatar,Tanev,Yamamoto
2473,847629284779318482110,Palat-Nosek-Mercer,NJD,line,4468,91,13,5on5,Palat,Nosek,Mercer
2474,847345384793368479994,Anderson-Dolan-Lewis-Grundstrom,LAK,line,1179,40,7,5on5,Anderson-Dolan,Lewis,Grundstrom
2475,847342284807988484144,Foligno-Bedard-Kurashev,CHI,line,18955,215,47,5on5,Foligno,Bedard,Kurashev
